race_name;date;year;vettel_position;teammate;teammate_position;constructor
"Italian Grand Prix";"2012-09-09";2012;22;"Webber";20;"Red Bull"
"Brazilian Grand Prix";"2012-11-25";2012;6;"Webber";4;"Red Bull"
"British Grand Prix";"2013-06-30";2013;\N;"Webber";2;"Red Bull"
"Australian Grand Prix";"2014-03-16";2014;\N;"Ricciardo";\N;"Red Bull"
"Bahrain Grand Prix";"2014-04-06";2014;6;"Ricciardo";4;"Red Bull"
"Chinese Grand Prix";"2014-04-20";2014;5;"Ricciardo";4;"Red Bull"
"Spanish Grand Prix";"2014-05-11";2014;4;"Ricciardo";3;"Red Bull"
"Monaco Grand Prix";"2014-05-25";2014;\N;"Ricciardo";3;"Red Bull"
"Canadian Grand Prix";"2014-06-08";2014;3;"Ricciardo";1;"Red Bull"
"Austrian Grand Prix";"2014-06-22";2014;\N;"Ricciardo";8;"Red Bull"
"British Grand Prix";"2014-07-06";2014;5;"Ricciardo";3;"Red Bull"
"Hungarian Grand Prix";"2014-07-27";2014;7;"Ricciardo";1;"Red Bull"
"Belgian Grand Prix";"2014-08-24";2014;5;"Ricciardo";1;"Red Bull"
"Italian Grand Prix";"2014-09-07";2014;6;"Ricciardo";5;"Red Bull"
"Russian Grand Prix";"2014-10-12";2014;8;"Ricciardo";7;"Red Bull"
"United States Grand Prix";"2014-11-02";2014;7;"Ricciardo";3;"Red Bull"
"Abu Dhabi Grand Prix";"2014-11-23";2014;8;"Ricciardo";4;"Red Bull"
"Bahrain Grand Prix";"2015-04-19";2015;5;"Räikkönen";2;"Ferrari"
"Canadian Grand Prix";"2015-06-07";2015;5;"Räikkönen";4;"Ferrari"
"Belgian Grand Prix";"2015-08-23";2015;12;"Räikkönen";7;"Ferrari"
"Mexican Grand Prix";"2015-11-01";2015;\N;"Räikkönen";\N;"Ferrari"
"Abu Dhabi Grand Prix";"2015-11-29";2015;4;"Räikkönen";3;"Ferrari"
"Bahrain Grand Prix";"2016-04-03";2016;\N;"Räikkönen";2;"Ferrari"
"Russian Grand Prix";"2016-05-01";2016;\N;"Räikkönen";3;"Ferrari"
"Spanish Grand Prix";"2016-05-15";2016;3;"Räikkönen";2;"Ferrari"
"Austrian Grand Prix";"2016-07-03";2016;\N;"Räikkönen";3;"Ferrari"
"British Grand Prix";"2016-07-10";2016;9;"Räikkönen";5;"Ferrari"
"Singapore Grand Prix";"2016-09-18";2016;5;"Räikkönen";4;"Ferrari"
"Malaysian Grand Prix";"2016-10-02";2016;\N;"Räikkönen";4;"Ferrari"
"British Grand Prix";"2017-07-16";2017;7;"Räikkönen";3;"Ferrari"
"Singapore Grand Prix";"2017-09-17";2017;\N;"Räikkönen";\N;"Ferrari"
"Japanese Grand Prix";"2017-10-08";2017;\N;"Räikkönen";5;"Ferrari"
"Mexican Grand Prix";"2017-10-29";2017;4;"Räikkönen";3;"Ferrari"
"Chinese Grand Prix";"2018-04-15";2018;8;"Räikkönen";3;"Ferrari"
"Azerbaijan Grand Prix";"2018-04-29";2018;4;"Räikkönen";2;"Ferrari"
"French Grand Prix";"2018-06-24";2018;5;"Räikkönen";3;"Ferrari"
"Austrian Grand Prix";"2018-07-01";2018;3;"Räikkönen";2;"Ferrari"
"German Grand Prix";"2018-07-22";2018;\N;"Räikkönen";3;"Ferrari"
"Italian Grand Prix";"2018-09-02";2018;4;"Räikkönen";2;"Ferrari"
"Japanese Grand Prix";"2018-10-07";2018;6;"Räikkönen";5;"Ferrari"
"United States Grand Prix";"2018-10-21";2018;4;"Räikkönen";1;"Ferrari"
"Brazilian Grand Prix";"2018-11-11";2018;6;"Räikkönen";3;"Ferrari"
"Bahrain Grand Prix";"2019-03-31";2019;5;"Leclerc";3;"Ferrari"
"French Grand Prix";"2019-06-23";2019;5;"Leclerc";3;"Ferrari"
"Austrian Grand Prix";"2019-06-30";2019;4;"Leclerc";2;"Ferrari"
"British Grand Prix";"2019-07-14";2019;16;"Leclerc";3;"Ferrari"
"Belgian Grand Prix";"2019-09-01";2019;4;"Leclerc";1;"Ferrari"
"Italian Grand Prix";"2019-09-08";2019;13;"Leclerc";1;"Ferrari"
"Russian Grand Prix";"2019-09-29";2019;\N;"Leclerc";3;"Ferrari"
"United States Grand Prix";"2019-11-03";2019;\N;"Leclerc";4;"Ferrari"
"Abu Dhabi Grand Prix";"2019-12-01";2019;5;"Leclerc";3;"Ferrari"
